destination_id,date,footfall_count,day_of_week,is_weekend,is_holiday,holiday_name,weather_temp,weather_condition,month
taj_mahal,2024-01-01,37265,0,0,1,New Year,14.6,sunny,1
jaipur_city_palace,2024-01-01,20995,0,0,1,New Year,15.9,sunny,1
goa_baga_beach,2024-01-01,27793,0,0,1,New Year,28.3,cloudy,1
kerala_backwaters,2024-01-01,16596,0,0,1,New Year,12.3,sunny,1
varanasi_ghats,2024-01-01,18437,0,0,1,New Year,14.1,rainy,1
hampi_ruins,2024-01-01,10278,0,0,1,New Year,12.3,cloudy,1
manali,2024-01-01,23763,0,0,1,New Year,3.8,cloudy,1
mysore_palace,2024-01-01,14852,0,0,1,New Year,12.6,extreme_heat,1
kempty_falls,2024-01-01,10181,0,0,1,New Year,13.1,sunny,1
robbers_cave,2024-01-01,4329,0,0,1,New Year,14.7,sunny,1
taj_mahal,2024-01-02,23599,1,0,1,Winter Vacation,18.3,extreme_heat,1
jaipur_city_palace,2024-01-02,25553,1,0,1,Winter Vacation,12.4,sunny,1
goa_baga_beach,2024-01-02,27363,1,0,1,Winter Vacation,27.8,sunny,1
kerala_backwaters,2024-01-02,16303,1,0,1,Winter Vacation,15.3,sunny,1
varanasi_ghats,2024-01-02,17938,1,0,1,Winter Vacation,12.7,rainy,1
hampi_ruins,2024-01-02,11331,1,0,1,Winter Vacation,14.4,cloudy,1
manali,2024-01-02,24200,1,0,1,Winter Vacation,3.4,sunny,1
mysore_palace,2024-01-02,19887,1,0,1,Winter Vacation,15.3,cloudy,1
kempty_falls,2024-01-02,9073,1,0,1,Winter Vacation,13.1,cloudy,1
robbers_cave,2024-01-02,4284,1,0,1,Winter Vacation,17.0,cloudy,1
taj_mahal,2024-01-03,33831,2,0,1,Winter Vacation,10.6,cloudy,1
jaipur_city_palace,2024-01-03,23677,2,0,1,Winter Vacation,15.2,cloudy,1
goa_baga_beach,2024-01-03,31306,2,0,1,Winter Vacation,27.3,sunny,1
kerala_backwaters,2024-01-03,9235,2,0,1,Winter Vacation,13.6,rainy,1
varanasi_ghats,2024-01-03,27654,2,0,1,Winter Vacation,12.2,sunny,1
hampi_ruins,2024-01-03,11273,2,0,1,Winter Vacation,15.4,cloudy,1
manali,2024-01-03,24200,2,0,1,Winter Vacation,3.3,sunny,1
mysore_palace,2024-01-03,20827,2,0,1,Winter Vacation,12.7,sunny,1
kempty_falls,2024-01-03,9398,2,0,1,Winter Vacation,11.6,sunny,1
robbers_cave,2024-01-03,4334,2,0,1,Winter Vacation,14.0,sunny,1
taj_mahal,2024-01-04,33964,3,0,1,Winter Vacation,15.3,sunny,1
jaipur_city_palace,2024-01-04,20723,3,0,1,Winter Vacation,13.8,sunny,1
goa_baga_beach,2024-01-04,21162,3,0,1,Winter Vacation,25.4,extreme_heat,1
kerala_backwaters,2024-01-04,17248,3,0,1,Winter Vacation,12.2,sunny,1
varanasi_ghats,2024-01-04,24035,3,0,1,Winter Vacation,13.3,cloudy,1
hampi_ruins,2024-01-04,11400,3,0,1,Winter Vacation,13.6,sunny,1
manali,2024-01-04,24200,3,0,1,Winter Vacation,3.7,sunny,1
mysore_palace,2024-01-04,18998,3,0,1,Winter Vacation,14.5,sunny,1
kempty_falls,2024-01-04,9449,3,0,1,Winter Vacation,14.1,cloudy,1
robbers_cave,2024-01-04,3900,3,0,1,Winter Vacation,14.0,cloudy,1
taj_mahal,2024-01-05,35773,4,0,1,Winter Vacation,12.0,sunny,1
jaipur_city_palace,2024-01-05,24105,4,0,1,Winter Vacation,16.7,sunny,1
goa_baga_beach,2024-01-05,26406,4,0,1,Winter Vacation,30.9,cloudy,1
kerala_backwaters,2024-01-05,13208,4,0,1,Winter Vacation,12.1,cloudy,1
varanasi_ghats,2024-01-05,24125,4,0,1,Winter Vacation,15.3,sunny,1
hampi_ruins,2024-01-05,11879,4,0,1,Winter Vacation,12.0,cloudy,1
manali,2024-01-05,24200,4,0,1,Winter Vacation,6.0,sunny,1
mysore_palace,2024-01-05,21943,4,0,1,Winter Vacation,12.0,sunny,1
kempty_falls,2024-01-05,9287,4,0,1,Winter Vacation,12.4,sunny,1
robbers_cave,2024-01-05,2754,4,0,1,Winter Vacation,13.7,rainy,1
taj_mahal,2024-01-06,27989,5,1,0,,13.7,cloudy,1
jaipur_city_palace,2024-01-06,23189,5,1,0,,13.0,sunny,1
goa_baga_beach,2024-01-06,29050,5,1,0,,31.5,cloudy,1
kerala_backwaters,2024-01-06,13953,5,1,0,,13.0,sunny,1
varanasi_ghats,2024-01-06,24721,5,1,0,,12.5,sunny,1
hampi_ruins,2024-01-06,12185,5,1,0,,15.7,sunny,1
manali,2024-01-06,24200,5,1,0,,2.8,sunny,1
mysore_palace,2024-01-06,20033,5,1,0,,12.7,sunny,1
kempty_falls,2024-01-06,6706,5,1,0,,11.5,extreme_heat,1
robbers_cave,2024-01-06,2608,5,1,0,,17.2,rainy,1
taj_mahal,2024-01-07,37181,6,1,0,,14.6,sunny,1
jaipur_city_palace,2024-01-07,25196,6,1,0,,13.2,sunny,1
goa_baga_beach,2024-01-07,27467,6,1,0,,31.1,sunny,1
kerala_backwaters,2024-01-07,18479,6,1,0,,11.3,sunny,1
varanasi_ghats,2024-01-07,31743,6,1,0,,13.6,sunny,1
hampi_ruins,2024-01-07,12807,6,1,0,,11.8,sunny,1
manali,2024-01-07,24200,6,1,0,,1.2,sunny,1
mysore_palace,2024-01-07,22492,6,1,0,,14.7,sunny,1
kempty_falls,2024-01-07,10110,6,1,0,,15.3,sunny,1
robbers_cave,2024-01-07,3842,6,1,0,,12.3,cloudy,1
taj_mahal,2024-01-08,19260,0,0,0,,13.3,cloudy,1
jaipur_city_palace,2024-01-08,15711,0,0,0,,14.1,sunny,1
goa_baga_beach,2024-01-08,20416,0,0,0,,27.0,sunny,1
kerala_backwaters,2024-01-08,6969,0,0,0,,15.1,extreme_heat,1
